,answers,correct,correct_letter,question,question_POS,source,style-pairs_layer-0,style-single_layer-0,style-pairs_layer-1,style-single_layer-1,style-pairs_layer-2,style-single_layer-2,style-pairs_layer-all,style-single_layer-all
0,"[[['balk', 'fortitude'], ['v', 'n']], [['betray', 'loyalty'], ['v', 'n']], [['cajole', 'compliance'], ['v', 'n']], [['hinder', 'destination'], ['v', 'n']], [['soothe', 'passion'], ['v', 'n']]]","[['cajole', 'compliance'], ['v', 'n']]",c,"['lull', 'trust']","['v', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
1,"[[['lion', 'cat'], ['n', 'n']], [['goose', 'flock'], ['n', 'n']], [['ewe', 'sheep'], ['n', 'n']], [['cub', 'bear'], ['n', 'n']], [['primate', 'monkey'], ['n', 'n']]]","[['lion', 'cat'], ['n', 'n']]",a,"['ostrich', 'bird']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
2,"[[['paint', 'portrait'], ['n', 'n']], [['poetry', 'rhythm'], ['n', 'n']], [['note', 'music'], ['n', 'n']], [['tale', 'story'], ['n', 'n']], [['week', 'year'], ['n', 'n']]]","[['note', 'music'], ['n', 'n']]",c,"['word', 'language']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,0,1,0,1
3,"[[['aquarium', 'fish'], ['n', 'n']], [['forest', 'wildlife'], ['n', 'n']], [['crib', 'nursery'], ['n', 'n']], [['fence', 'yard'], ['n', 'n']], [['barn', 'tool'], ['n', 'n']]]","[['aquarium', 'fish'], ['n', 'n']]",a,"['coop', 'poultry']","['n', 'n']",190 FROM REAL SATs,0,0,1,1,1,0,1,0
4,"[[['subtitle', 'translation'], ['n', 'n']], [['bar', 'graph'], ['n', 'n']], [['figure', 'blueprint'], ['n', 'n']], [['key', 'chart'], ['n', 'n']], [['footnote', 'information'], ['n', 'n']]]","[['key', 'chart'], ['n', 'n']]",d,"['legend', 'map']","['n', 'n']",190 FROM REAL SATs,0,0,1,1,1,1,1,1
5,"[[['sculpture', 'museum'], ['n', 'n']], [['store', 'window'], ['n', 'n']], [['library', 'book'], ['n', 'n']], [['canvas', 'painting'], ['n', 'n']], [['theater', 'intermission'], ['n', 'n']]]","[['canvas', 'painting'], ['n', 'n']]",d,"['billboard', 'advertisement']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
6,"[[['hypothesis', 'evidence'], ['n', 'n']], [['testimony', 'trial'], ['n', 'n']], [['ballot', 'election'], ['n', 'n']], [['rule', 'game'], ['n', 'n']], [['contest', 'debate'], ['n', 'n']]]","[['rule', 'game'], ['n', 'n']]",d,"['custom', 'society']","['n', 'n']",190 FROM REAL SATs,0,0,0,1,0,0,0,0
7,"[[['conduit', 'fluid'], ['n', 'n']], [['corner', 'intersection'], ['n', 'n']], [['sign', 'detour'], ['n', 'n']], [['aisle', 'seat'], ['n', 'n']], [['corridor', 'building'], ['n', 'n']]]","[['corridor', 'building'], ['n', 'n']]",e,"['tunnel', 'mine']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
8,"[[['assurance', 'uncertainty'], ['n', 'n']], [['enmity', 'hatred'], ['n', 'n']], [['secrecy', 'curiosity'], ['n', 'n']], [['reward', 'deed'], ['n', 'n']], [['sluggishness', 'fatigue'], ['n', 'n']]]","[['assurance', 'uncertainty'], ['n', 'n']]",a,"['diversion', 'boredom']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
9,"[[['grove', 'trees'], ['n', 'n']], [['orchard', 'apples'], ['n', 'n']], [['pasture', 'cows'], ['n', 'n']], [['reef', 'waves'], ['n', 'n']], [['crop', 'plants'], ['n', 'n']]]","[['grove', 'trees'], ['n', 'n']]",a,"['thicket', 'shrubs']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
